,TMEM,P5_1,J2_1,J2_14,J1AB,T2,Q1_1,Q1_3,Q1_5,Q1_13
1,5,2,1,2,1,9,9,9,9,9
2,11,2,1,2,1,3,3,1,1,1
3,12,2,1,2,1,2,2,1,1,1
4,8,2,1,2,1,9,9,9,9,9
5,4,2,1,2,1,1,2,1,1,1
6,4,2,1,2,1,2,2,2,1,1
7,5,2,1,2,1,1,1,2,2,2
8,5,2,1,2,1,2,2,2,1,2
9,6,2,1,2,1,9,9,9,9,9
10,8,2,1,2,1,2,2,1,1,1
11,12,2,1,2,1,1,2,1,1,2
12,10,2,1,2,1,2,2,2,2,1
13,5,2,2,2,1,1,2,1,1,1
14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
15,4,2,1,2,1,2,2,2,1,2
16,6,2,1,2,1,9,9,9,9,9
17,12,2,1,2,1,2,2,1,2,1
18,5,2,1,2,1,2,2,1,1,2
19,10,2,1,2,1,2,2,1,1,1
20,7,2,1,2,1,2,1,1,2,2
21,5,2,1,2,1,2,2,2,1,1
22,5,2,1,2,1,2,2,2,1,2
23,7,2,1,2,1,2,2,1,1,1
24,4,2,1,2,1,2,2,2,1,1
25,8,2,1,2,1,1,2,2,2,2
26,10,2,1,2,1,3,2,2,1,1
27,12,2,1,2,1,2,3,2,1,1
28,12,2,1,2,1,2,2,2,3,1
29,10,2,1,2,1,2,2,1,1,1
30,12,2,1,2,1,2,2,2,1,1
31,6,2,1,2,1,2,2,1,1,1
32,8,2,1,2,1,2,2,1,2,1
33,7,2,1,2,1,3,2,3,1,1
34,4,2,2,2,1,2,2,2,2,1
35,8,2,1,2,1,2,2,1,1,1
36,9,2,1,2,1,2,1,1,1,1
37,5,2,1,2,1,2,2,2,2,2
38,9,2,1,2,1,2,2,1,1,1
39,6,2,1,2,1,3,2,2,1,2
40,4,2,1,2,1,2,2,2,1,2
41,3,2,1,2,1,9,9,9,9,9
42,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
43,11,2,1,2,1,1,2,2,1,1
44,6,2,1,2,1,2,2,2,1,1
45,6,2,1,2,1,1,2,2,1,1
46,8,2,1,2,1,2,3,2,1,1
47,4,2,1,2,1,2,9,9,9,9
48,3,2,1,2,1,2,2,2,3,1
49,5,2,1,1,1,3,2,3,3,2
50,6,2,1,2,1,2,1,2,2,1
51,6,2,1,2,1,2,1,2,3,1
52,6,2,1,2,1,3,2,2,1,2
53,8,2,1,2,1,2,2,1,1,1
54,4,2,1,2,1,2,2,2,1,1
55,4,2,1,2,1,3,2,3,3,1
56,12,2,1,2,1,2,2,2,1,1
57,8,2,1,2,1,2,2,2,1,1
58,7,2,1,2,2,2,2,2,2,1
59,7,2,1,2,1,1,2,2,1,1
60,5,2,1,2,1,1,2,2,2,1
61,4,2,1,2,1,2,2,1,1,1
62,3,2,1,2,2,2,2,1,1,1
63,6,2,1,2,1,2,2,2,3,1
64,7,2,1,2,1,2,2,1,1,1
65,10,2,1,2,1,3,2,3,3,1
66,6,2,1,2,1,2,2,2,1,1
67,4,2,1,2,1,2,2,1,1,1
68,5,2,1,2,1,2,2,2,1,1
69,7,2,1,2,1,2,2,2,1,2
70,5,2,1,2,1,2,2,2,3,1
71,6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
72,3,2,1,2,1,2,3,2,2,1
73,6,2,1,2,1,2,2,1,1,1
74,8,2,1,2,1,2,2,1,1,1
75,7,2,2,2,1,2,2,2,3,1
76,12,2,1,2,1,1,1,1,1,2
77,0.01,2,1,2,1,1,2,1,1,1
78,6,2,1,2,1,3,2,1,1,1
79,12,2,1,1,1,1,1,1,1,1
80,3,2,1,2,1,3,2,3,1,1
81,11,2,1,2,1,2,2,1,1,1
82,12,2,1,2,1,2,2,1,1,1
83,7,2,1,2,1,9,9,9,9,9
84,5,2,1,2,1,2,2,2,2,1
85,6,2,1,2,1,2,2,1,1,1
86,4,2,1,2,1,2,2,1,1,2
87,8,2,1,2,1,2,2,2,1,1
88,7,2,1,2,1,2,1,2,2,1
89,3,2,1,2,2,2,2,1,1,1
90,10,2,1,2,1,2,2,2,1,1
91,12,2,1,2,1,3,2,3,2,3
92,9,2,1,2,1,2,2,1,1,1
93,8,2,1,2,1,2,2,1,1,1
94,8,2,1,2,1,3,2,2,2,1
95,6,1,1,2,1,2,2,2,2,1
96,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
97,3,2,1,2,1,2,3,1,3,1
98,4,2,1,2,1,3,2,1,2,1
99,7,2,1,2,1,2,2,1,1,1
100,7,2,1,2,1,3,2,1,2,3
101,4,2,1,2,1,2,2,1,3,1
102,7,2,1,2,1,2,2,2,2,1
103,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
104,12,2,2,2,1,2,2,1,1,1
105,10,2,1,2,1,3,2,1,1,1
106,5,2,1,2,1,3,2,3,1,1
107,11,2,1,2,1,2,2,1,1,1
108,7,2,1,2,1,2,2,1,3,1
109,6,2,1,2,1,3,2,2,1,1
110,6,2,1,2,1,2,2,3,1,1
111,9,2,1,2,1,2,2,2,1,1
112,9,2,1,2,1,3,3,2,1,1
113,6,2,1,2,1,2,2,1,2,1
114,7,2,1,2,1,2,3,1,1,2
115,6,2,1,2,1,2,2,1,1,1
116,6,2,1,2,1,1,2,1,1,3
117,11,2,1,2,1,2,2,1,2,1
118,6,2,1,2,1,1,2,2,1,1
119,11,2,1,2,1,3,2,1,1,1
120,6,2,1,2,1,2,3,1,1,2
121,7,2,1,2,1,2,2,1,1,2
122,5,2,1,2,2,2,2,1,1,1
123,5,2,1,2,1,2,2,1,1,1
124,5,2,1,2,1,2,2,1,1,1
125,3,2,1,2,1,2,2,2,1,1
126,8,2,1,2,1,3,1,1,1,1
