"Predictor_Variable","Coefficients","Standard_Error","Z_Value","P_Value"
"D1A_1V1L_99999",32.4597250708873,6120.8618785518,0.00530312980670744,0.995768734436082
"A12_1",-0.293270606414921,0.372681605434668,-0.78691999320136,0.431328702867217
"A12_99999",-16.5244468599602,6349.77696109807,-0.00260236650219327,0.997923614290005
"A13_1",-986903339024.3,5932969899832.24,-0.166342212363526,0.867887648094608
"A13_2",-986903339025.257,5932969607215.68,-0.166342220567755,0.86788764163852
"A13_3",-986903339025.855,5932969480889.81,-0.166342224109645,0.867887638851329
"A13_4",-986903339025.354,5932969926495.43,-0.166342211616149,0.867887648682735
"A13_5",-986903339025.69,5932969737234.61,-0.166342216922497,0.867887644507054
"A13_6",-986903339026.126,5932969706993.98,-0.166342217770425,0.867887643839801
"A13_7",-986903339026.089,5932970113655.73,-0.166342206368875,0.86788765281193
"A13_8",-986903339026.172,5932969553960.97,-0.166342222061007,0.867887640463447
"A13_9",-986903339007.567,5932970130778.44,-0.166342205885685,0.867887653192163
"A13_99999",-986903339037.592,5932969377943.47,-0.166342226997922,0.867887636578481
"A14_1",5376935323422.81,6665881501624.66,0.806635299789278,0.419876630083033
"A14_2",5376935323423.67,6665881501521.71,0.806635299801865,0.419876630075779
"A14_3",5376935323424.2,6665881501516.26,0.806635299802604,0.419876630075353
"A14_4",5376935323424.27,6665881501549.12,0.806635299798638,0.419876630077639
"A14_5",5376935323422.68,6665881501631.04,0.806635299788487,0.419876630083489
"A14_6",5376935323420.48,6665881501594.76,0.806635299792546,0.419876630081149
"A14_7",5376935323424.08,6665881501684.38,0.806635299782242,0.419876630087087
"A14_8",5376935323421.16,6665881501516.63,0.806635299802103,0.419876630075641
"A14_9",5376935323426.07,6665881501631.03,0.806635299788996,0.419876630083195
"A14_10",5376935323424.28,6665881501766.11,0.806635299772382,0.41987663009277
"A14_11",5376935323423.56,6665881501711.28,0.806635299778909,0.419876630089008
"A14_12",5376935323422.81,6665881501866.04,0.806635299760067,0.419876630099867
"A14_13",5376935323423.31,6665881501623.34,0.806635299789512,0.419876630082898
"A14_14",5376935323422.85,6665881501508.39,0.806635299803354,0.419876630074921
"A14_15",5376935323423.5,6665881501792.03,0.806635299769128,0.419876630094645
"A14_16",5376935323424.26,6665881501633.3,0.80663529978845,0.41987663008351
"A14_17",5376935323419.86,6665881501717,0.806635299777662,0.419876630089727
"A14_18",5376935323422.68,6665881501772.84,0.806635299771328,0.419876630093378
"A14_19",5376935323423.12,6665881501688.89,0.806635299781552,0.419876630087485
"A14_99",5376935323434.61,6665881501599.17,0.806635299794133,0.419876630080235
"A14_99999",5376935323436.48,6665881501530.22,0.806635299802757,0.419876630075264
"D1A_7ML_1",0.427867373417836,0.348133865024417,1.22903117565948,0.219060117505448
"D1A_7ML_2",0.355874407467121,0.353033893732381,1.00804600857076,0.313432375409666
"D1A_7ML_3",-0.178708134133235,0.380896216357193,-0.469178023983435,0.638942392251218
"D1A_7ML_4",1.00892028880732,0.651472425110992,1.5486768893333,0.12145941215197
"D1A_7ML_5",-0.0971532521536801,0.455003669439938,-0.213521909116174,0.830919902116597
"D1A_7ML_6",0.189586967461978,0.411841127912516,0.460340054969572,0.645272154740931
"D1A_7ML_7",1.23489289373187,0.704536258409598,1.75277408223032,0.0796407936196386
"D1A_7ML_8",0.309027114223013,0.592459500661182,0.521600402859841,0.601948582759846
"D1A_7ML_9",1.92836813999913,0.738107916168659,2.6125829269097,0.00898608888915404
"D1A_7ML_10",-1.12833586926046,0.62295004733431,-1.81127824628759,0.0700977913093408
"D1A_7ML_11",1.82473610979519,1.08207299326886,1.68633365876991,0.091731551513792
"D1A_7ML_12",0.696607671427138,0.585985467155912,1.18877977436562,0.234526339001541
"D1A_7ML_98",NA,11108011301040.8,-0.435130431695103,0.663467755516579
"D1A_7ML_99999",NA,11108011301039.4,-0.435130431692121,0.663467755518743
"A15V1_1",-4833433752695.96,6018.60455281192,-0.00272730263871291,0.997823930029601
"A15V1_99999",-4833433752662.25,NA,NA,NA
"A15V4_4",-16.4145560782535,NA,NA,NA
"A15V4_99999",NA,NA,NA,NA
